epoch,train_loss,train_acc,val_loss,val_top1,val_top5,val_top10,lr,time_s
75,1.419935,60.5025,1.899681,56.1393,79.4513,86.5358,0.00025000,22.4
76,1.408199,60.7606,1.919276,56.1770,79.2829,86.3319,0.00025000,22.8
77,1.406901,60.8557,1.927192,56.3809,79.4979,86.5380,0.00025000,22.4
78,1.396846,60.7796,1.925887,56.2346,79.5976,86.4361,0.00025000,23.0
79,1.388405,61.0834,1.903489,56.7953,79.7438,86.5956,0.00025000,22.5
80,1.380053,61.3484,1.920288,56.0972,79.4336,86.4250,0.00025000,22.6
81,1.364906,61.6300,1.931257,56.3321,79.5599,86.4006,0.00025000,22.6
82,1.365841,61.5983,1.886798,57.0700,79.9455,86.6909,0.00025000,22.7
83,1.356126,61.8500,1.916017,56.6955,79.8701,86.6266,0.00025000,23.0
84,1.347574,62.0041,1.936298,56.1216,79.7172,86.4538,0.00025000,22.6
85,1.346601,62.1354,1.923516,56.7908,79.6907,86.5203,0.00025000,22.9
86,1.337420,62.2907,1.904373,57.1919,79.9411,86.7795,0.00025000,22.9
87,1.329006,62.4480,1.899147,57.4312,80.0563,86.6222,0.00025000,22.4
88,1.321071,62.5057,1.920742,56.9238,79.8037,86.5025,0.00025000,22.6
89,1.308979,62.8792,1.925053,57.1498,79.8303,86.5956,0.00025000,23.0
90,1.307793,62.8589,1.899981,57.4246,80.0098,86.7352,0.00025000,22.6
91,1.304527,63.0485,1.965633,56.5515,79.5643,86.4139,0.00025000,22.6
92,1.293437,63.2597,1.927499,57.1520,80.0075,86.6355,0.00025000,22.7
93,1.287052,63.3079,1.908008,57.3958,79.9854,86.7862,0.00025000,22.9
94,1.282036,63.3986,1.900731,57.5997,79.9122,86.6200,0.00025000,22.8
95,1.273928,63.6560,1.920636,57.7636,80.0696,86.7507,0.00025000,22.5
96,1.270677,63.7416,1.921059,57.4335,80.0452,86.6466,0.00025000,22.7
97,1.266267,63.8907,1.932412,57.4756,80.0762,86.6710,0.00025000,22.5
98,1.256316,64.1411,1.875981,57.8434,80.4131,86.9701,0.00025000,22.6
99,1.253989,64.3028,1.883447,58.1647,80.4286,86.9479,0.00025000,22.5
100,1.258680,64.0568,1.908756,57.4002,80.0563,86.7662,0.00025000,22.9
101,1.238844,64.4677,1.893159,58.3575,80.5061,86.9856,0.00025000,22.6
102,1.237893,64.5108,1.879480,58.2800,80.4131,86.9479,0.00025000,22.5
103,1.232191,64.7049,1.916762,58.2024,80.2735,86.7751,0.00025000,22.5
104,1.224002,64.8127,1.881644,58.3930,80.3111,87.0255,0.00025000,22.9
105,1.224868,64.8482,1.901960,58.2445,80.3023,86.8128,0.00025000,22.6
106,1.220544,64.9928,1.898393,58.4462,80.3377,87.0233,0.00025000,22.9
107,1.217449,64.9363,1.892356,58.4661,80.5837,87.0632,0.00025000,22.8
108,1.206759,65.2750,1.878442,58.9315,80.6546,87.2338,0.00025000,22.6
109,1.204755,65.2166,1.909051,58.2246,80.3333,86.8881,0.00025000,22.7
110,1.200099,65.3637,1.894711,58.4174,80.3111,86.9479,0.00025000,22.7
111,1.204513,65.3447,1.908923,58.1492,80.4463,86.8106,0.00025000,22.8
112,1.188953,65.5920,1.896922,58.3531,80.4131,86.9457,0.00025000,22.4
113,1.183992,65.5977,1.894169,58.5149,80.5305,86.9745,0.00025000,23.0
114,1.183384,65.7943,1.898873,58.7830,80.5859,86.9568,0.00025000,22.6
115,1.174968,65.9681,1.881486,58.8229,80.7322,87.0322,0.00025000,22.7
116,1.173412,66.1050,1.906363,58.0384,80.3000,86.8017,0.00025000,23.0
117,1.161336,66.4823,1.889036,58.9027,80.7011,87.0720,0.00025000,22.9
118,1.168338,66.1887,1.919475,58.3974,80.3909,86.9036,0.00025000,22.8
119,1.164032,66.2718,1.911254,58.1647,80.2779,86.8438,0.00025000,22.6
120,1.156185,66.3352,1.919242,58.3664,80.2646,86.7751,0.00025000,22.4
121,1.151874,66.6371,1.930206,58.9846,80.6812,87.0565,0.00025000,22.6
122,1.152016,66.5838,1.881712,59.3968,80.8673,87.1407,0.00025000,22.6
123,1.136244,67.0195,1.910231,58.6279,80.2313,86.7441,0.00025000,22.6
124,1.139714,66.8857,1.912960,59.1597,80.8452,87.1651,0.00025000,22.5
125,1.142637,66.7119,1.906097,58.9359,80.6612,87.0565,0.00025000,22.5
126,1.131277,66.9865,1.901770,59.4079,80.7233,87.0033,0.00025000,22.7
127,1.134504,66.9662,1.880221,59.2173,80.8585,87.2693,0.00025000,22.4
128,1.121586,67.2427,1.904913,59.1420,80.9737,87.1695,0.00025000,22.8
129,1.127266,67.0214,1.948818,58.4705,80.5571,86.9701,0.00025000,23.0
130,1.123257,67.2160,1.908650,59.1309,80.9382,87.2826,0.00025000,22.4
131,1.116246,67.5553,1.913836,59.1087,80.9715,86.9768,0.00025000,23.1
132,1.113451,67.3194,1.898928,59.1863,80.8097,86.9745,0.00025000,22.9
133,1.111715,67.4912,1.912268,59.6627,80.9316,87.3224,0.00025000,22.8
134,1.110336,67.4380,1.862792,59.4899,81.0357,87.3690,0.00025000,22.6
135,1.108002,67.5464,1.898222,59.1220,80.6967,86.9258,0.00025000,23.1
136,1.095665,67.8419,1.916267,59.3990,80.9116,87.0255,0.00025000,22.5
137,1.102047,67.6384,1.917716,59.3481,80.9405,87.1186,0.00025000,22.7
138,1.090711,67.9840,1.915344,58.8827,80.7144,86.9435,0.00025000,22.4
139,1.096626,67.8768,1.922481,59.7957,81.1288,87.3934,0.00025000,23.0
140,1.096618,67.8051,1.898960,60.0328,81.2219,87.2116,0.00025000,22.6
141,1.081713,68.2655,1.940060,59.0977,80.7299,87.0211,0.00025000,22.6
142,1.079697,68.1330,1.863765,60.0882,81.3415,87.4488,0.00025000,22.3
143,1.082281,68.2738,1.929076,59.4522,80.7698,87.0920,0.00025000,22.9
